Loading repository data...
Reading installed packages...

S  | Name                                  | Type    | Version                             | Arch   | Repository             
---+---------------------------------------+---------+-------------------------------------+--------+------------------------
i  | AppStream                             | package | 0.12.2-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | AppStream-lang                        | package | 0.12.2-1.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | GeoIP                                 | package | 1.6.12-2.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | GeoIP-data                            | package | 1.6.12-2.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | ImageMagick                           | package | 7.0.8.17-1.1                        | x86_64 | openSUSE-Tumbleweed-Oss
i  | Mesa                                  | package | 18.3.1-209.1                        | x86_64 | openSUSE-Tumbleweed-Oss
i  | Mesa-demo-x                           | package | 8.4.0-1.3                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | Mesa-dri                              | package | 18.3.1-209.1                        | x86_64 | openSUSE-Tumbleweed-Oss
i  | Mesa-gallium                          | package | 18.3.1-209.1                        | x86_64 | openSUSE-Tumbleweed-Oss
i  | Mesa-libEGL1                          | package | 18.3.1-209.1                        | x86_64 | openSUSE-Tumbleweed-Oss
i  | Mesa-libGL1                           | package | 18.3.1-209.1                        | x86_64 | openSUSE-Tumbleweed-Oss
i  | Mesa-libglapi0                        | package | 18.3.1-209.1                        | x86_64 | openSUSE-Tumbleweed-Oss
i  | Mesa-libva                            | package | 18.3.1-209.1                        | x86_64 | openSUSE-Tumbleweed-Oss
i  | ModemManager                          | package | 1.6.14-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | ModemManager-bash-completion          | package | 1.6.14-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | ModemManager-lang                     | package | 1.6.14-1.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | MozillaFirefox                        | package | 64.0-1.1                            | x86_64 | openSUSE-Tumbleweed-Oss
i  | MozillaFirefox-branding-openSUSE      | package | 45-4.1                              | x86_64 | openSUSE-Tumbleweed-Oss
i  | NetworkManager                        | package | 1.14.4-2.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | NetworkManager-branding-openSUSE      | package | 42.1-4.8                            | noarch | openSUSE-Tumbleweed-Oss
i  | NetworkManager-lang                   | package | 1.14.4-2.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | NetworkManager-openconnect            | package | 1.2.4-3.2                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | NetworkManager-openconnect-lang       | package | 1.2.4-3.2                           | noarch | openSUSE-Tumbleweed-Oss
i  | NetworkManager-openvpn                | package | 1.8.8-1.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | NetworkManager-openvpn-lang           | package | 1.8.8-1.1                           | noarch | openSUSE-Tumbleweed-Oss
i  | NetworkManager-pptp                   | package | 1.2.8-1.1                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | NetworkManager-pptp-lang              | package | 1.2.8-1.1                           | noarch | openSUSE-Tumbleweed-Oss
i  | OpenPrintingPPDs                      | package | 4.0.0.2-4.3                         | noarch | openSUSE-Tumbleweed-Oss
i  | OpenPrintingPPDs-ghostscript          | package | 4.0.0.2-4.3                         | noarch | openSUSE-Tumbleweed-Oss
i  | OpenPrintingPPDs-hpijs                | package | 4.0.0.2-4.3                         | noarch | openSUSE-Tumbleweed-Oss
i  | OpenPrintingPPDs-postscript           | package | 4.0.0.2-4.3                         | noarch | openSUSE-Tumbleweed-Oss
i  | PackageKit                            | package | 1.1.12-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | PackageKit-backend-zypp               | package | 1.1.12-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | PackageKit-branding-openSUSE          | package | 42.1-2.4                            | noarch | openSUSE-Tumbleweed-Oss
i  | PackageKit-gstreamer-plugin           | package | 1.1.12-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | PackageKit-gtk3-module                | package | 1.1.12-1.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | PackageKit-lang                       | package | 1.1.12-1.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | aaa_base                              | package | 84.87+git20181210.841bf8f-1.1       | x86_64 | openSUSE-Tumbleweed-Oss
i  | aaa_base-extras                       | package | 84.87+git20181210.841bf8f-1.1       | x86_64 | openSUSE-Tumbleweed-Oss
i  | accountsservice                       | package | 0.6.50-2.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | accountsservice-lang                  | package | 0.6.50-2.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | acl                                   | package | 2.2.53-2.1                          | x86_64 | openSUSE-Tumbleweed-Oss
i  | acpica                                | package | 20180629-1.1                        | x86_64 | openSUSE-Tumbleweed-Oss
i  | adjtimex                              | package | 1.29-7.13                           | x86_64 | openSUSE-Tumbleweed-Oss
i  | adobe-sourcecodepro-fonts             | package | 2.030-1.5                           | noarch | openSUSE-Tumbleweed-Oss
i  | adobe-sourcesanspro-fonts             | package | 2.020-1.9                           | noarch | openSUSE-Tumbleweed-Oss
i  | adobe-sourceserifpro-fonts            | package | 2.000-1.1                           | noarch | openSUSE-Tumbleweed-Oss
i  | adwaita-icon-theme                    | package | 3.30.1-1.1                          | noarch | openSUSE-Tumbleweed-Oss
i  | akonadi-calendar-lang                 | package | 18.12.0-1.1                         | noarch | openSUSE-Tumbleweed-Oss
